feature,bins,woe,bad_rate,population,population_pct,min,max,mean,warning
ext_mean,"(-0.0009885, 0.235]",1.4329655476427987,0.2690341173189551,10757,0.049972823183450484,1.1470169704839305e-05,0.2354214488892712,0.2690341173189551,
ext_mean,"(0.235, 0.304]",0.9880184715889345,0.19085246816026774,10757,0.049972823183450484,0.235431995495755,0.3037426008845764,0.19085246816026774,
ext_mean,"(0.304, 0.35]",0.7581940333414896,0.1578507018685507,10757,0.049972823183450484,0.3037500479861205,0.3495197904338215,0.1578507018685507,
ext_mean,"(0.35, 0.384]",0.53951230828152,0.13090368166604685,10756,0.0499681775737839,0.3495219607207869,0.3842123387986767,0.13090368166604685,
ext_mean,"(0.384, 0.414]",0.3779215134519973,0.11358988659602157,10758,0.04997746879311706,0.3842142274556059,0.4135721259608983,0.11358988659602157,
ext_mean,"(0.414, 0.439]",0.19262266000555106,0.0962253625883228,10756,0.0499681775737839,0.4135731446074761,0.4392647518470445,0.0962253625883228,
ext_mean,"(0.439, 0.462]",0.04993528971937318,0.08451097062104872,10756,0.0499681775737839,0.4392653754925624,0.4621747536898617,0.08451097062104872,
ext_mean,"(0.462, 0.484]",-0.058247806647557576,0.07650832016361439,10757,0.049972823183450484,0.4621770379377257,0.4837313498022975,0.07650832016361439,
ext_mean,"(0.484, 0.504]",-0.20673873258518932,0.06665427163707353,10757,0.049972823183450484,0.4837333892327429,0.5044290448194567,0.06665427163707353,
ext_mean,"(0.504, 0.524]",-0.2681179385313957,0.06293576275913358,10757,0.049972823183450484,0.5044291306971919,0.5242720706657913,0.06293576275913358,
ext_mean,"(0.524, 0.544]",-0.3463077666560399,0.05847898847155076,10756,0.0499681775737839,0.5242723278902273,0.5439418320226123,0.05847898847155076,
ext_mean,"(0.544, 0.563]",-0.46562602937076514,0.05224504973505624,10757,0.049972823183450484,0.5439423781788197,0.5634925521717252,0.05224504973505624,
ext_mean,"(0.5634930487547296, 0.6022834569086243]",-0.7115902441560276,0.041323850694928645,21513,0.09994100075723437,0.5634930487547296,0.6022834569086243,0.041323850694928645,
ext_mean,"(0.602, 0.623]",-0.8110795418521763,0.03755693966719346,10757,0.049972823183450484,0.6022871241169198,0.6227114837866836,0.03755693966719346,
ext_mean,"(0.623, 0.644]",-0.8664833768110333,0.035604722506274986,10757,0.049972823183450484,0.6227173645617905,0.6439357612523765,0.035604722506274986,
ext_mean,"(0.644, 0.667]",-0.9685569556842825,0.032261063592413534,10756,0.0499681775737839,0.6439362654389829,0.6666093626789108,0.032261063592413534,
ext_mean,"(0.667, 0.693]",-1.160658580918793,0.026773263921167613,10757,0.049972823183450484,0.6666093741010756,0.6928217084147719,0.026773263921167613,
